No_E_R1,count
552 , 1
553 , 1
555 , 1
558 , 1
560 , 1
563 , 2
564 , 1
569 , 1
572 , 1
579 , 1
581 , 1
582 , 1
588 , 3
590 , 1
591 , 1
596 , 1
597 , 1
600 , 1
602 , 1
603 , 2
606 , 1
607 , 1
610 , 1
614 , 1
619 , 1
622 , 1
624 , 1
625 , 1
627 , 1
629 , 1
630 , 1
632 , 1
638 , 1
643 , 1
644 , 1
647 , 1
649 , 2
651 , 2
652 , 1
653 , 1
655 , 1
656 , 1
657 , 1
661 , 1
662 , 1
664 , 1
665 , 1
669 , 1
671 , 1
674 , 1
675 , 1
685 , 1
689 , 1
691 , 1
696 , 2
699 , 1
701 , 1
702 , 1
703 , 1
705 , 1
706 , 1
708 , 2
715 , 2
725 , 1
726 , 1
733 , 1
734 , 1
735 , 1
736 , 1
741 , 1
742 , 1
744 , 1
745 , 1
746 , 1
750 , 2
754 , 2
760 , 1
761 , 1
764 , 1
783 , 1
786 , 1
788 , 1
795 , 1
800 , 1
801 , 1
807 , 2
808 , 1
813 , 2
816 , 1
823 , 1
825 , 1
828 , 1
830 , 1
841 , 1
851 , 1
855 , 1
858 , 1
861 , 1
865 , 1
869 , 1
870 , 1
873 , 1
880 , 1
881 , 1
886 , 1
890 , 1
891 , 1
895 , 1
898 , 1
904 , 1
905 , 1
908 , 1
924 , 2
927 , 1
936 , 1
941 , 1
946 , 1
957 , 1
964 , 1
968 , 1
972 , 1
990 , 1
994 , 1
1001 , 1
1005 , 1
1008 , 1
1010 , 1
1016 , 1
1020 , 1
1024 , 1
1026 , 1
1029 , 1
1031 , 2
1034 , 1
1036 , 1
1039 , 1
1064 , 1
1087 , 1
1092 , 1
1100 , 1
1103 , 1
1104 , 1
1107 , 1
1117 , 2
1126 , 1
1136 , 1
1139 , 1
1159 , 1
1174 , 2
1177 , 2
1181 , 1
1187 , 1
1195 , 1
1201 , 1
1204 , 1
1207 , 1
1210 , 1
1216 , 1
1238 , 1
1245 , 1
1256 , 1
1271 , 1
1275 , 1
1283 , 1
1294 , 1
1295 , 1
1299 , 1
1311 , 1
1318 , 1
1319 , 1
1330 , 1
1353 , 1
1357 , 1
1358 , 1
1373 , 1
1435 , 1
1454 , 1
1456 , 1
1495 , 1
1517 , 1
1518 , 1
1535 , 1
1567 , 1
1618 , 1
1620 , 1
1622 , 1
1627 , 1
1640 , 1
1658 , 1
1686 , 1
1699 , 2
1721 , 1
1801 , 1
1810 , 1
1811 , 1
1835 , 1
2476 , 1
2775 , 1
2807 , 1
2922 , 1
2943 , 1
3282 , 1
4378 , 1
5602 , 1
8241 , 1
10313 , 1
12960 , 1
