No_E_R1,count
499 , 1
500 , 2
501 , 2
504 , 1
506 , 1
508 , 1
512 , 1
513 , 2
514 , 1
515 , 1
517 , 1
521 , 1
523 , 1
524 , 2
525 , 1
528 , 1
531 , 1
533 , 1
536 , 1
537 , 1
541 , 1
547 , 3
549 , 1
554 , 1
556 , 1
559 , 2
561 , 1
562 , 1
566 , 1
568 , 1
575 , 2
582 , 1
583 , 1
584 , 2
585 , 1
590 , 1
593 , 2
595 , 1
598 , 1
601 , 1
602 , 1
603 , 1
604 , 1
614 , 1
617 , 3
618 , 1
622 , 1
625 , 1
628 , 1
630 , 1
641 , 2
642 , 2
644 , 1
646 , 2
647 , 2
649 , 1
650 , 1
652 , 1
655 , 1
656 , 1
657 , 1
659 , 1
660 , 1
663 , 1
667 , 1
669 , 1
680 , 2
682 , 1
692 , 1
693 , 1
695 , 3
696 , 2
697 , 1
700 , 1
704 , 1
705 , 1
710 , 1
716 , 1
719 , 1
723 , 1
731 , 1
732 , 1
733 , 1
734 , 1
735 , 2
737 , 1
740 , 1
744 , 1
745 , 1
746 , 2
757 , 2
760 , 1
774 , 1
775 , 1
782 , 1
787 , 1
792 , 1
795 , 2
797 , 1
801 , 1
806 , 1
810 , 1
812 , 1
813 , 1
814 , 1
823 , 1
825 , 1
836 , 1
838 , 1
850 , 1
854 , 1
855 , 2
858 , 1
863 , 1
865 , 1
866 , 1
875 , 1
877 , 1
885 , 1
886 , 1
887 , 1
890 , 1
898 , 2
903 , 1
918 , 1
922 , 1
923 , 1
928 , 1
933 , 1
939 , 1
947 , 1
954 , 1
958 , 1
968 , 1
980 , 1
992 , 1
998 , 2
1005 , 1
1008 , 1
1014 , 1
1018 , 2
1022 , 1
1026 , 1
1027 , 1
1028 , 1
1030 , 1
1031 , 1
1056 , 1
1079 , 1
1085 , 1
1094 , 1
1095 , 2
1104 , 1
1112 , 3
1131 , 1
1132 , 1
1156 , 1
1167 , 3
1168 , 1
1174 , 1
1179 , 1
1188 , 1
1191 , 1
1193 , 1
1196 , 1
1202 , 1
1209 , 1
1230 , 1
1234 , 1
1241 , 1
1259 , 1
1269 , 1
1270 , 1
1273 , 1
1287 , 1
1289 , 1
1304 , 1
1308 , 1
1309 , 1
1320 , 1
1337 , 1
1343 , 2
1425 , 1
1447 , 1
1450 , 1
1485 , 1
1504 , 1
1509 , 1
1523 , 1
1562 , 1
1606 , 1
1608 , 1
1611 , 1
1618 , 1
1631 , 1
1647 , 1
1674 , 1
1685 , 1
1690 , 1
1708 , 1
1786 , 1
1801 , 1
1802 , 1
1824 , 1
2755 , 1
2898 , 1
2919 , 1
3260 , 1
