repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
273,7,0.0,0.0,0.0,2.0,0.0
276,5,0.0,0.0,0.0,0.0,0.0
279,3,0.0,0.0,0.0,2.0,0.0
282,4,0.0,0.0,0.0,4.0,1.0
285,6,0.0,0.0,0.0,1.0,0.0
288,5,0.0,0.0,0.0,2.0,0.0
291,4,2.0,0.0,0.0,3.0,0.0
294,6,0.0,0.0,1.0,2.0,0.0
297,9,0.0,0.0,1.0,3.0,0.0
300,4,0.0,0.0,0.0,2.0,0.0
303,5,0.0,0.0,0.0,5.0,0.0
306,6,1.0,0.0,0.0,3.0,0.0
309,9,0.0,0.0,1.0,0.0,0.0
312,4,0.0,0.0,0.0,2.0,0.0
315,9,0.0,1.0,1.0,0.0,0.0
318,7,0.0,0.0,0.0,0.0,0.0
321,5,0.0,1.0,0.0,0.0,0.0
324,5,0.0,0.0,0.0,3.0,0.0
327,3,0.0,0.0,0.0,3.0,0.0
330,8,0.0,0.0,0.0,1.0,0.0
333,7,0.0,0.0,1.0,2.0,1.0
336,6,0.0,0.0,0.0,0.0,0.0
339,4,0.0,1.0,0.0,1.0,0.0
342,2,0.0,1.0,0.0,1.0,0.0
345,9,1.0,0.0,0.0,2.0,0.0
348,5,0.0,0.0,0.0,2.0,0.0
351,2,0.0,0.0,0.0,4.0,0.0
354,6,0.0,0.0,0.0,1.0,0.0
357,4,0.0,0.0,0.0,1.0,0.0
360,1,0.0,0.0,0.0,0.0,0.0
363,2,1.0,0.0,0.0,2.0,0.0
366,8,0.0,0.0,0.0,1.0,0.0
369,5,0.0,0.0,0.0,0.0,0.0
372,5,0.0,2.0,0.0,1.0,0.0
375,2,0.0,0.0,0.0,1.0,0.0
378,10,0.0,0.0,0.0,1.0,0.0
381,4,0.0,0.0,0.0,3.0,0.0
384,11,0.0,0.0,0.0,3.0,1.0
387,14,0.0,0.0,0.0,1.0,1.0
390,3,1.0,0.0,0.0,2.0,0.0
393,5,0.0,0.0,0.0,0.0,0.0
396,6,1.0,0.0,1.0,2.0,0.0
399,6,0.0,0.0,0.0,0.0,0.0
402,6,0.0,0.0,1.0,1.0,0.0
405,6,0.0,0.0,0.0,4.0,0.0
408,5,0.0,0.0,0.0,1.0,0.0
411,5,0.0,0.0,0.0,1.0,1.0
414,3,0.0,0.0,0.0,0.0,1.0
417,9,0.0,0.0,0.0,1.0,0.0
420,9,0.0,0.0,1.0,0.0,0.0
423,6,0.0,0.0,0.0,3.0,0.0
426,6,0.0,0.0,0.0,1.0,0.0
429,5,0.0,0.0,0.0,2.0,1.0
432,5,0.0,0.0,0.0,2.0,0.0
435,5,0.0,0.0,0.0,4.0,0.0
438,5,0.0,0.0,0.0,2.0,0.0
441,7,0.0,0.0,0.0,0.0,0.0
444,6,0.0,1.0,0.0,2.0,0.0
447,8,0.0,0.0,0.0,4.0,0.0
450,6,0.0,1.0,0.0,4.0,0.0
